"Informazioni cronologiche","In che genere ti identifichi:","Età","Luogo di residenza","Titolo di studio","Occupazione","Ti ritieni un lettore","Qual è il genere che preferisci leggere (puoi selezionare più di una risposta)","Con quale supporto preferisci leggere (Seleziona tutti quelli che usi)","Se ti viene regalato un libri sei... (esempio a Natale, compleanno ecc.)","Preferisci compare libri","Il prezzo di un libro ti frena dal comprarlo?","Qual è il prezzo massimo che sei disposto a spendere per un libro","Quanti libri compri in media in un anno tra usati e nuovi (Scrivere il numero intero: esempio 25)","Oltre a comprare libri, quali altri mezzi utilizzi (puoi selezionare più di una risposta)","Quanti libri leggi in media in un anno (Scrivere il numero intero: Esempio: 25)","Preferisci compare libri","Mediamente, a settimana, quanto tempo passi a leggere","Hai un account attivo su quale di questi social? (cioè: Entri dentro l'app giornalmente o quasi) (puoi selezionare più di una risposta)","Usi uno di questi account per parlare di libri? (sei un bookinfluencer)","Usi uno di questi account solo per cercare consigli sui libri? (non sei un bookinfluencer)","Se hai risposto sì, ad almeno una delle due, specifica quali","Ti ritieni parte di una comunità librosa online? (BookTube, Bookstagram, BookTok)","Specifica quale (anche più di una)","Conosci #Booktok?","Quanto tempo passi giornalmente su tiktok","Quando hai conosciuto #booktok?  (scrivi solo l'anno --> yyyy)","Quanto sono cambiate le tue abitudini di lettura da quando sei entrato nel BookTok?","Hai mai partecipato a una live di lettura? ","Cosa ti piace di queste live?","Hai mai partecipato a un GDL (gruppo di lettura)","Cosa ti piace di questi GDL?","Durante la lettura di un libro ","Ascolti volentieri recensioni parlate di 1 minuto o più?","Cosa ti ha convinto a rimanere la prima volta che hai conosciuto BookTok? (Risposta facoltativa, ma sono molto curiosa)","Preferisci leggere","Qual è il tuo bookinfluencer preferito?","Da 1 a 5 con quanta frequenza ti capitano nei ""per te"" o nel ""feed"" video o post del BookTok, BookTube o Bookstagram","Da 1 a 5 quanto pensi che il BookTok, Bookstagram, BookTube abbia influito sul tuo approccio alla lettura?","Prima di comprare un libro quanto ti basi sui pareri del BookTok, Booktube e Bookstagram","Compri libri che hanno sulla copertina scritto ""fenomeno di BookTok"" o ""romanzo di wattpad""","Compri e leggi un libro anche se è stato definito ""brutto"" da un bookinfluencer che segui e stimi?","Come scegli i libri da comprare, puoi selezionare più di una risposta","Leggi libri perché in quel momento vanno di moda?","Dopo aver finito un libro che ti è piaciuto molto cosa fai? Puoi mettere più di una risposta","Dopo aver finito un libro che non ti è piaciuto molto cosa fai? Può selezionare più di una risposta","Considera gli ultimi dodici mesi. Ti è capitato di comprare dei libri suggeriti da BookTok, BookTube o Bookstagram?","",""
"2023/01/14 10:48:22 PM CET","F","19-25","Centro","Laurea e post laurea","Studente","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Indifferente","No","Se il libro mi interessa non importa il prezzo","130","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","50","Su Amazon","dalle 3 alle 6 ore","Instagram;Tiktok","Si","No","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","più di 4 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Entro ma alla fine non leggo il libro","Mi fa sentire parte di un gruppo","","Dipende dal libro","Il Booktok mia è sembrato da subito una comunità molto unita, che può aiutare le persone a conoscersi e a conoscere nuovi libri","In completo silenzio","Non ne ho uno preferito, ne seguo con piacere molti ","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Scegli un altro libro;Fai un video/post su qualche social","Si","Sei di corvi/Saga dell’Attraversaspecchi","Comprare più libri per volta"
"2023/01/17 4:20:46 PM CET","M","26-35","Centro","Diploma","Lavoratore","3","Giallo e Thriller;Saggi e divulgazione scientifica","Cartaceo;Ebook","5","Indifferente","Si","16 - 20 Euro","30","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online","20","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","dalle 3 alle 6 ore","Youtube;Twitter","No","No","","No","","Si","meno di un'ora","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Entro ma alla fine non leggo il libro","","Faccio le orecchiette alle pagine","Dipende dal libro","","Il contesto è indifferente","","2","2","0","No","Si","Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:21:57 PM CET","F","26-35","Centro","Laurea e post laurea","Lavoratore","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","16 - 20 Euro","30","Leggo in audiolibro","70","Nelle librerie fisiche","Più di 10 ore","Instagram;Tiktok","Si","No","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","3 o 4 ore","2019","Non sono cambiate, leggo quanto prima","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo;Mi sembra di leggere più velocemente","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Dipende dal libro","Mi piaceva che i video fossero brevi ma efficaci. Interessanti. ","Il contesto è indifferente","Troppi","3","2","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Fai un video/post su qualche social;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:22:24 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","4","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","30","Leggo in audiolibro","30","Mi è indifferente","dalle 7 alle 10 ore","Instagram;Tiktok;Facebook","No","Si","Instagram;Tiktok","Si","Booktok","Si","3 o 4 ore","2022","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","Scoprire che c'erano tante persone che condividono la mia passione e con cui posso parlarne senza sentirmi giudicata","In completo silenzio","La biblioteca di Daphne ","4","3","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Scegli un altro libro","Si","",""
"2023/01/17 4:22:43 PM CET","F","14-18","Centro","Licenza di Scuola Media","Studente","5","Fantasy e Avventura;Giallo e Thriller;Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","50","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL;Li scarico da siti online","60","Nelle librerie fisiche","Più di 10 ore","Instagram;Tiktok;Twitter","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","più di 4 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Scrivo sul libro le mie impressioni;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Si","Mi ha fatti conoscere titoli che non conoscevo e mi ha incuriosita ","Con musica di sottofondo","Valentina Ghetti, Labibliotecadidaphne e Leggoromance","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:23:18 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","4","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Indifferente","Si","16 - 20 Euro","20","Leggo su wattpad (e simili)","12","Mi è indifferente","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok","Si","Si","Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2021","Non sono cambiate, leggo quanto prima","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi aiutano a leggere;Mi fa sentire parte di un gruppo;Mi sembra di leggere più velocemente","Faccio le orecchiette alle pagine;Utilizzo segnalibri","Si","","Il contesto è indifferente","Meg, La biblioteca di Daphne","5","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Leggi o guardi video di recensione online;Scegli un altro libro simile;Fai un video/post su qualche social","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:23:45 PM CET","F","26-35","Sud e Isole","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","Se il libro mi interessa non importa il prezzo","5","Leggo in audiolibro;Li scarico da siti online","50","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Tiktok;Facebook","Si","No","Instagram","Si","Bookstagram","Si","tra l'1 o le 2 ore","2021","Non sono cambiate, leggo quanto prima","Si","Mi fa sentire parte di un gruppo","Sì","Il confronto con altre persone ","Utilizzo segnalibri","Si","Conoscere le opinioni altrui ","Il contesto è indifferente","Leggoromance, labibliotecadidafne","5","3","3","Dipende dal libro","Si","Consigli di Bookinfluencer;Mi faccio consigliare dal libraio;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Fai un video/post su qualche social","Scegli un altro libro;Fai un video/post su qualche social","Si","",""
"2023/01/17 4:24:30 PM CET","F","19-25","Nord","Diploma","Studente","3","Classici;Fantasy e Avventura","Cartaceo","4","Indifferente","Si","13 - 15 Euro","10","Li prendo in biblioteca o MLOL","17","Nelle librerie fisiche","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok;Twitter","No","No","","Si","Booktok","Si","meno di un'ora","2020","Non sono cambiate, leggo quanto prima","No","","No","","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi","Si","","In completo silenzio","","3","3","3","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Scegli un altro libro","Si","",""
"2023/01/17 4:24:46 PM CET","F","19-25","Nord","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","21 - 26 Euro","20","Leggo in audiolibro;Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL;Li scarico da siti online","50","Mi è indifferente","Più di 10 ore","Youtube;Instagram","No","No","","No","","No","meno di un'ora","0000","Non sono cambiate, leggo quanto prima","No","","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","","Il contesto è indifferente","","4","2","0","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 4:25:09 PM CET","F","19-25","Sud e Isole","Diploma","Disoccupato","4","Classici;Fantascienza;Romanzo rosa e Chick-lit;Young Adult e New Adult;","Cartaceo;Ebook;Audiolibro","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","30","Leggo in audiolibro;Leggo su wattpad (e simili)","60","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok;Twitter","Si","No","","Si","Booktok;Bookstagram","Si","3 o 4 ore","2022","Prima di conscese Booktok non leggevo","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Scrivo sul libro le mie impressioni;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Si","","Con musica di sottofondo","","4","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social;Cerchi di capire cosa è piaciuto agli altri","Si","",""
